Reductions,Times
0.874330596,19454.14615
0.637593985,15691.35679
0.569677712,11628.83073
0.716180371,8260.583943
0.587743733,5217.517794
0.724653148,9625.730732
0.736548074,19681.64355
0.472012103,10627.40271
0.717277487,10534.58146
0.763260026,5563.783437
0.732113145,6115.49007
0.495049505,2877.666927
0.828984344,16975.42866
0.685141509,10739.1327
0.720822622,21090.78413
0.605681818,7483.44383
0.506692161,3412.99879
0.29261745,5249.690884
0.665222102,7128.460424
0.401430843,8899.325281
0.643564356,9595.901471
0.605055292,6149.773126
0.794444444,6395.769164
0.481538462,4832.68938
0.720652174,12600.70474
0.677419355,8716.957341
0.578222778,5407.108054
0.763919822,10447.77363
0.543177893,7898.334024
0.26391097,4499.265551
0.511695906,4012.672515
0.686746988,16570.25043
0.75862069,16170.30216
0.607958252,9317.306369
0.703420112,18688.30943
0.326807229,4572.451802
0.616201337,14213.18588
0.817109145,5525.133771
0.176855895,3174.833124
0.751552795,14639.60632
0.356495468,3684.432792
0.660714286,5733.192415
0.78466483,21399.88066
0.567875648,6768.16588
0.754954955,6948.98582
0.572443182,5024.417522
0.733676976,8413.402825
0.779636881,20510.74573
0.492256637,7862.793362
0.803748622,17408.23243
0.450171821,2649.720561
0.549575071,5853.65492
0,1770.821152
0.340909091,2717.282823
0.52883263,5209.646898
0.600162536,14850.46084
0.426448737,4798.975397
0.480477223,5730.860591
0.367924528,9626.080754
0.64159292,3069.45194
0.746987952,7469.57999
0.849074976,14951.77833
0.813049358,16741.27913
0.257102273,8953.194112
0.326732673,4096.249326
0.71509434,3271.188142
0.736318408,5892.091171
0.726166329,7004.70415
0.738422392,14222.94999
0.644544432,6036.023862
0.671201814,5420.731179
0.53064275,6029.629423
0.772403983,6236.803954
0.457978076,6461.268075
0.784839204,17494.33008
0.451010886,3843.834146
0.622535211,3492.108073
0.66097561,4232.015528
0.507102273,6040.27968
0.5,11367.7684
0.43318649,5114.992601
0.676846197,9733.28883
0.821126242,16076.81747
0.446619217,6641.671663
0,4096.884737
0.612009238,7054.238745
0.597997139,6860.411618
0.506419401,5150.283029
0.752023547,9692.947685
0.711397059,16491.03298
0.4,2341.665437
0.394922426,5773.109556
0.536512668,4881.105433
0.729502453,17166.4987
0.513937282,12108.66833
0.679099678,9828.005398
0,5325.519372
0.441441441,6037.756776
0.694238448,9821.921275
0.385964912,6038.669098
0.591317365,5938.908652
0.435870699,5733.047693
0.629452055,14428.70802
0.941176471,3075.93152
0.209302326,3676.970938
0.529032258,5212.514982
0.542784163,7272.671261
0.629181495,9051.951589
0.413559322,2844.190018
0.73976915,14095.97808
0.597457627,5759.895429
0.677713737,21983.41447
0.770862801,12280.2559
0.803034724,28772.36417
0.766013072,10339.53455
0.767001115,12927.1291
0.720959596,9700.251594
0.246967071,7389.39369
0.683941139,9302.86104
0.5215311,3264.174047
0.623131393,7161.557075
0.463888889,4814.184691
0.639711465,14429.23023
0.63928113,14443.46801
0.727140784,7679.00689
0.73070018,13108.52114
0.635177688,13300.66314
0.483448807,8289.93509
0.687693899,6659.574577
0.763959391,18315.89674
0.435483871,16172.95868
0.703675345,9570.171411
0.505462491,6195.106386
0.752722614,17922.71049
0.795610425,13416.70993
0.542410714,5625.617064
0.589830508,7497.962085
0.786458333,10328.21799
0.486089645,7503.786762
0.520046485,11538.45014
0.752515091,10528.03362
0.646060606,6362.374361
0.703751617,6756.594676
0.45505618,5016.686327
0.639296188,10954.61384
0.340384615,7382.733793
0.630699088,4592.257236
